company_code,date,open,high,low,close,volume,date_diff,daily_return
INFY.NS,2021-01-01,1107.3549790511033,1114.0453921542232,1105.5063278261723,1109.5997314453125,4253550,,
INFY.NS,2021-01-04,1117.1263457345842,1135.6130701320833,1110.2158535829499,1134.072509765625,7208454,3.0,0.02205550130084788
INFY.NS,2021-01-05,1128.5706731227374,1143.5361188661745,1122.4524897590766,1138.95849609375,8145280,1.0,0.004308354435938799
INFY.NS,2021-01-06,1144.4163232794403,1146.1769637767932,1116.2901343186134,1128.6585693359375,7161715,1.0,-0.009043285416578284
INFY.NS,2021-01-07,1140.8951348189516,1142.347684839273,1105.2421618558594,1111.0963134765625,10954918,1.0,-0.015560291071646248
INFY.NS,2021-01-08,1125.2694168181652,1159.205807166795,1125.2694168181652,1155.0682373046875,13186251,1.0,0.03957525850350385
INFY.NS,2021-01-11,1181.4776855514658,1217.7908927756303,1179.6290346758822,1211.49658203125,20528626,3.0,0.048852823499186515
INFY.NS,2021-01-12,1213.0812248339826,1213.0812248339826,1197.2354613746127,1207.5792236328125,8309868,1.0,-0.0032334869586421178
INFY.NS,2021-01-13,1209.4281702066341,1226.110306403351,1197.235754056419,1221.136474609375,14442997,1.0,0.011226800454364971
INFY.NS,2021-01-14,1197.2356405052901,1218.3633282789128,1160.6582880628148,1206.47900390625,27521697,1.0,-0.012003138885695597
INFY.NS,2021-01-15,1197.235680710267,1201.153063298787,1179.6292736409982,1183.98681640625,15018441,1.0,-0.01864283375605913
INFY.NS,2021-01-18,1177.8683118115084,1179.6289520384314,1149.69806818074,1155.0240478515625,8861765,3.0,-0.02446207014584678
INFY.NS,2021-01-19,1162.0226595649897,1171.7061817280312,1154.9800979918687,1159.0736083984375,5585744,1.0,0.0035060400295625627
INFY.NS,2021-01-20,1162.506930964582,1187.0238280519566,1162.506930964582,1179.1448974609375,8225838,1.0,0.017316664720054886
INFY.NS,2021-01-21,1188.4323317498906,1198.1599134497121,1175.227528063781,1179.364990234375,6142421,1.0,0.000186654561209032
INFY.NS,2021-01-22,1168.1850268607495,1193.7143153151292,1167.78892571395,1180.37744140625,9646591,1.0,0.000858471448837772
INFY.NS,2021-01-25,1184.030971185381,1186.583921909131,1155.8607175958405,1166.5125732421875,6542611,3.0,-0.011746131091377454
INFY.NS,2021-01-27,1161.6706896269554,1168.669300749039,1131.2996381464989,1145.2967529296875,8133665,2.0,-0.01818739103131406
INFY.NS,2021-01-28,1137.1978043016243,1141.291207719844,1120.251638559747,1123.4647216796875,4660690,1.0,-0.019062335760712923
INFY.NS,2021-01-29,1132.311937664293,1136.6255284428273,1083.6742431601515,1090.7608642578125,12183519,1.0,-0.029109821421877458
INFY.NS,2021-02-01,1100.8844352414333,1125.005122010936,1092.4773346055727,1109.9957275390625,8880279,3.0,0.017634354065625635
INFY.NS,2021-02-02,1126.8101032448378,1139.4867383985393,1112.3728273048162,1119.1072998046875,6892490,1.0,0.008208655258364006
INFY.NS,2021-02-03,1124.7412005689066,1147.937617904773,1120.6476898717608,1130.9034423828125,8182968,1.0,0.010540671640854926
